40579,24746,3,
45257,52982,2,
37299,26774,3,
15185,2324,1,
32804,23663,3,
7126,57202,2,
48922,34568,3,
58289,43583,3,
29294,50079,2,
49725,19990,3,
37504,36995,3,
24375,1272,1,
45146,7702,3,
55791,12903,3,
30155,704,1,
50481,41537,3,
5493,64679,2,
20971,5747,1,
40213,45621,2,
15636,54152,2,
25225,45757,2,
32604,61622,2,
37449,4327,3,
12188,35822,2,
15467,53400,2,
33555,42756,2,
7004,2685,1,
22757,24337,1,
46566,6007,3,
18542,25465,1,
27699,20120,1,
48217,3683,3,
30168,57441,2,
16022,17517,1,
54569,8817,3,
48008,19964,3,
51806,11990,3,
11563,12397,1,
24375,4794,1,
53475,43511,3,
14908,59421,2,
50514,55089,2,
1732,7872,1,
44892,46413,2,
25940,59520,2,
53287,10406,3,
34324,13783,3,
51174,60212,2,
17745,61221,2,
7055,51942,2,
57442,8195,3,
30178,60426,2,
8039,39366,2,
34416,22599,3,
7833,10988,1,
21347,65213,2,
47176,59681,2,
52563,28260,3,
61103,13327,3,
30307,65461,2,
39727,1838,3,
63586,55085,3,
5804,59706,2,
38864,9802,3,
34067,18458,3,
35792,21755,3,
60490,22599,3,
25996,18871,1,
17668,40712,2,
56218,55973,3,
16968,10011,1,
32831,36499,2,
41634,65421,2,
9151,14496,1,
31820,3309,1,
58905,42452,3,
7103,25858,1,
17865,34844,2,
47744,26062,3,
52088,1610,3,
35363,30847,3,
19653,56613,2,
19907,63861,2,
8813,51620,2,
631,3768,1,
6301,2257,1,
58755,20050,3,
21029,5635,1,
32075,63111,2,
53714,29797,3,
10301,8668,1,
57147,15611,3,
6987,53575,2,
1700,24202,1,
42908,57135,2,
1515,63790,2,
5520,60906,2,
37514,892,3,
24898,11500,1,
34597,29535,3,
43804,24542,3,
45354,31042,3,
15667,60239,2,
10639,63496,2,
40050,51880,2,
56733,18672,3,
15069,15262,1,
44894,34428,3,
1624,39761,2,
24353,3550,1,
15825,27083,1,
16924,41607,2,
44217,43149,3,
42033,41967,3,
43798,53603,2,
38222,4501,3,
1714,29355,1,
52474,44507,3,
18467,5823,1,
16640,27733,1,
40119,31813,3,
1600,31864,1,
3196,19832,1,
5426,44529,2,
35306,29885,3,
38289,40967,2,
55031,58653,2,
26414,10681,1,
12683,11631,1,
47098,44175,3,
14241,30007,1,
39357,36951,3,
31120,37557,2,
46086,64044,2,
48965,49535,2,
24900,60814,2,
7012,8618,1,
49196,27250,3,
34208,36716,2,
33984,51062,2,
56259,37805,3,
40613,31685,3,
55084,9718,3,
7339,51256,2,
47809,47278,3,
3996,13254,1,
15261,37028,2,
37058,39773,2,
27891,47421,2,
31431,43441,2,
17909,65245,2,
54709,59279,2,
44725,14682,3,
29034,14799,1,
57158,55423,3,
43949,36332,3,
17059,5391,1,
59824,43745,3,
64788,24753,3,
57031,38868,3,
44070,44997,2,
21626,52890,2,
62553,6,3,
51814,31811,3,
63278,3948,3,
61050,26129,3,
55856,36568,3,
41076,42405,2,
7698,15443,1,
60878,21307,3,
41762,14581,3,
13688,24888,1,
56967,40661,3,
27883,24690,1,
61979,54141,3,
21154,41195,2,
3793,21444,1,
13295,9969,1,
51197,48663,3,
52909,14535,3,
50170,45201,3,
49504,56672,2,
34013,43100,2,
61100,32977,3,
55890,28744,3,
13126,5986,1,
60380,54417,3,
53177,33923,3,
45294,16959,3,
61868,48920,3,
6833,45208,2,
55941,10419,3,
10599,45970,2,
15239,53703,2,
42436,56885,2,
33236,61707,2,
15530,44134,2,
63226,43105,3,
18951,906,1,
52437,19980,3,
46586,63975,2,
26124,54566,2,
58708,64727,2,
28259,40059,2,
